timestamp,value,label,anomaly_type,usl,lsl,nominal
2026-01-01 08:00:00,6.4156,normal,,6.8,6.2,6.5
2026-01-01 08:01:00,6.6218,normal,,6.8,6.2,6.5
2026-01-01 08:02:00,6.4802,normal,,6.8,6.2,6.5
2026-01-01 08:03:00,6.4816,normal,,6.8,6.2,6.5
2026-01-01 08:04:00,6.4741,normal,,6.8,6.2,6.5
2026-01-01 08:05:00,6.5051,normal,,6.8,6.2,6.5
2026-01-01 08:06:00,6.3613,normal,,6.8,6.2,6.5
2026-01-01 08:07:00,6.531,normal,,6.8,6.2,6.5
2026-01-01 08:08:00,6.6486,normal,,6.8,6.2,6.5
2026-01-01 08:09:00,6.5677,normal,,6.8,6.2,6.5
2026-01-01 08:10:00,6.6415,normal,,6.8,6.2,6.5
2026-01-01 08:11:00,6.5313,normal,,6.8,6.2,6.5
2026-01-01 08:12:00,6.6002,normal,,6.8,6.2,6.5
2026-01-01 08:13:00,6.5711,normal,,6.8,6.2,6.5
2026-01-01 08:14:00,6.5152,normal,,6.8,6.2,6.5
2026-01-01 08:15:00,6.5272,normal,,6.8,6.2,6.5
2026-01-01 08:16:00,6.5268,normal,,6.8,6.2,6.5
2026-01-01 08:17:00,6.3429,normal,,6.8,6.2,6.5
2026-01-01 08:18:00,6.6425,normal,,6.8,6.2,6.5
2026-01-01 08:19:00,6.5895,normal,,6.8,6.2,6.5
2026-01-01 08:20:00,6.6811,normal,,6.8,6.2,6.5
2026-01-01 08:21:00,6.3433,normal,,6.8,6.2,6.5
2026-01-01 08:22:00,6.5045,normal,,6.8,6.2,6.5
2026-01-01 08:23:00,6.4363,normal,,6.8,6.2,6.5
2026-01-01 08:24:00,6.6842,normal,,6.8,6.2,6.5
2026-01-01 08:25:00,6.4981,normal,,6.8,6.2,6.5
2026-01-01 08:26:00,6.5522,normal,,6.8,6.2,6.5
2026-01-01 08:27:00,6.5563,normal,,6.8,6.2,6.5
2026-01-01 08:28:00,6.4365,normal,,6.8,6.2,6.5
2026-01-01 08:29:00,6.4775,normal,,6.8,6.2,6.5
2026-01-01 08:30:00,6.5502,normal,,6.8,6.2,6.5
2026-01-01 08:31:00,6.497,normal,,6.8,6.2,6.5
2026-01-01 08:32:00,6.517,normal,,6.8,6.2,6.5
2026-01-01 08:33:00,6.6187,normal,,6.8,6.2,6.5
2026-01-01 08:34:00,6.6573,normal,,6.8,6.2,6.5
2026-01-01 08:35:00,6.5744,normal,,6.8,6.2,6.5
2026-01-01 08:36:00,6.4063,normal,,6.8,6.2,6.5
2026-01-01 08:37:00,6.5496,normal,,6.8,6.2,6.5
2026-01-01 08:38:00,6.4638,normal,,6.8,6.2,6.5
2026-01-01 08:39:00,6.6378,normal,,6.8,6.2,6.5
2026-01-01 08:40:00,6.412,normal,,6.8,6.2,6.5
2026-01-01 08:41:00,6.6253,normal,,6.8,6.2,6.5
2026-01-01 08:42:00,6.547,normal,,6.8,6.2,6.5
2026-01-01 08:43:00,6.542,normal,,6.8,6.2,6.5
2026-01-01 08:44:00,6.5768,normal,,6.8,6.2,6.5
2026-01-01 08:45:00,6.4256,normal,,6.8,6.2,6.5
2026-01-01 08:46:00,6.5251,normal,,6.8,6.2,6.5
2026-01-01 08:47:00,6.5161,normal,,6.8,6.2,6.5
2026-01-01 08:48:00,6.457,normal,,6.8,6.2,6.5
2026-01-01 08:49:00,6.4779,normal,,6.8,6.2,6.5
2026-01-01 08:50:00,6.6121,normal,,6.8,6.2,6.5
2026-01-01 08:51:00,6.2981,anomaly,nelson_rule5_2sigma,6.8,6.2,6.5
2026-01-01 08:52:00,6.6816,anomaly,nelson_rule5_2sigma,6.8,6.2,6.5
2026-01-01 08:53:00,6.3913,normal,,6.8,6.2,6.5
2026-01-01 08:54:00,6.7056,anomaly,nelson_rule5_2sigma,6.8,6.2,6.5
2026-01-01 08:55:00,6.2942,anomaly,nelson_rule5_2sigma,6.8,6.2,6.5
