timestamp,value,label,anomaly_type,usl,lsl,nominal
2026-01-01 08:00:00,0.0065,normal,,0.1,-0.1,0.0
2026-01-01 08:01:00,-0.0078,normal,,0.1,-0.1,0.0
2026-01-01 08:02:00,-0.0187,normal,,0.1,-0.1,0.0
2026-01-01 08:03:00,0.0132,normal,,0.1,-0.1,0.0
2026-01-01 08:04:00,-0.0323,normal,,0.1,-0.1,0.0
2026-01-01 08:05:00,0.0245,normal,,0.1,-0.1,0.0
2026-01-01 08:06:00,-0.023,normal,,0.1,-0.1,0.0
2026-01-01 08:07:00,0.0262,normal,,0.1,-0.1,0.0
2026-01-01 08:08:00,-0.0092,normal,,0.1,-0.1,0.0
2026-01-01 08:09:00,-0.009,normal,,0.1,-0.1,0.0
2026-01-01 08:10:00,0.0182,normal,,0.1,-0.1,0.0
2026-01-01 08:11:00,-0.0198,normal,,0.1,-0.1,0.0
2026-01-01 08:12:00,-0.0265,normal,,0.1,-0.1,0.0
2026-01-01 08:13:00,-0.0129,normal,,0.1,-0.1,0.0
2026-01-01 08:14:00,-0.0029,normal,,0.1,-0.1,0.0
2026-01-01 08:15:00,-0.0041,normal,,0.1,-0.1,0.0
2026-01-01 08:16:00,-0.03,normal,,0.1,-0.1,0.0
2026-01-01 08:17:00,-0.0273,normal,,0.1,-0.1,0.0
2026-01-01 08:18:00,0.0335,normal,,0.1,-0.1,0.0
2026-01-01 08:19:00,0.0176,normal,,0.1,-0.1,0.0
2026-01-01 08:20:00,-0.0087,normal,,0.1,-0.1,0.0
2026-01-01 08:21:00,-0.0232,normal,,0.1,-0.1,0.0
2026-01-01 08:22:00,0.0177,normal,,0.1,-0.1,0.0
2026-01-01 08:23:00,0.0057,normal,,0.1,-0.1,0.0
2026-01-01 08:24:00,-0.0348,normal,,0.1,-0.1,0.0
2026-01-01 08:25:00,-0.0064,normal,,0.1,-0.1,0.0
2026-01-01 08:26:00,-0.028,normal,,0.1,-0.1,0.0
2026-01-01 08:27:00,-0.0204,normal,,0.1,-0.1,0.0
2026-01-01 08:28:00,-0.0176,normal,,0.1,-0.1,0.0
2026-01-01 08:29:00,-0.0165,normal,,0.1,-0.1,0.0
2026-01-01 08:30:00,0.0055,normal,,0.1,-0.1,0.0
2026-01-01 08:31:00,-0.026,normal,,0.1,-0.1,0.0
2026-01-01 08:32:00,-0.0058,normal,,0.1,-0.1,0.0
2026-01-01 08:33:00,-0.0079,normal,,0.1,-0.1,0.0
2026-01-01 08:34:00,0.0254,normal,,0.1,-0.1,0.0
2026-01-01 08:35:00,0.0256,normal,,0.1,-0.1,0.0
2026-01-01 08:36:00,-0.0415,normal,,0.1,-0.1,0.0
2026-01-01 08:37:00,-0.0378,normal,,0.1,-0.1,0.0
2026-01-01 08:38:00,-0.015,normal,,0.1,-0.1,0.0
